Prompt_ID,Input_Token_Length,Context_Size,Token_Index_k,Per_Token_Latency_ms
4bb64f34-2e41-4c0d-a887-e02904105893,14,14,1,1841.206489000001
4bb64f34-2e41-4c0d-a887-e02904105893,14,15,2,320.4992369999786
4bb64f34-2e41-4c0d-a887-e02904105893,14,16,3,296.4076670000395
4bb64f34-2e41-4c0d-a887-e02904105893,14,17,4,304.0266109999834
4bb64f34-2e41-4c0d-a887-e02904105893,14,18,5,275.9286589999874
4bb64f34-2e41-4c0d-a887-e02904105893,14,19,6,275.6612270000005
4bb64f34-2e41-4c0d-a887-e02904105893,14,20,7,277.63878000001796
4bb64f34-2e41-4c0d-a887-e02904105893,14,21,8,297.1232470000018
4bb64f34-2e41-4c0d-a887-e02904105893,14,22,9,289.62462599997707
4bb64f34-2e41-4c0d-a887-e02904105893,14,23,10,295.0089230000117
4bb64f34-2e41-4c0d-a887-e02904105893,14,24,11,301.2052550000135
4bb64f34-2e41-4c0d-a887-e02904105893,14,25,12,300.98003500000914
4bb64f34-2e41-4c0d-a887-e02904105893,14,26,13,294.83232799998405
4bb64f34-2e41-4c0d-a887-e02904105893,14,27,14,301.77048699999887
4bb64f34-2e41-4c0d-a887-e02904105893,14,28,15,310.30341899997893
4bb64f34-2e41-4c0d-a887-e02904105893,14,29,16,300.0947600000359
4bb64f34-2e41-4c0d-a887-e02904105893,14,30,17,303.0548139999496
4bb64f34-2e41-4c0d-a887-e02904105893,14,31,18,316.7636300000254
4bb64f34-2e41-4c0d-a887-e02904105893,14,32,19,308.3784350000087
4bb64f34-2e41-4c0d-a887-e02904105893,14,33,20,361.9348450000075
4bb64f34-2e41-4c0d-a887-e02904105893,14,34,21,318.9621349999925
4bb64f34-2e41-4c0d-a887-e02904105893,14,35,22,308.65470800000594
4bb64f34-2e41-4c0d-a887-e02904105893,14,36,23,312.4171999999703
4bb64f34-2e41-4c0d-a887-e02904105893,14,37,24,316.83021399999234
4bb64f34-2e41-4c0d-a887-e02904105893,14,38,25,324.2466490000311
4bb64f34-2e41-4c0d-a887-e02904105893,14,39,26,318.42008500001384
4bb64f34-2e41-4c0d-a887-e02904105893,14,40,27,321.7712989999768
4bb64f34-2e41-4c0d-a887-e02904105893,14,41,28,340.53398200001084
4bb64f34-2e41-4c0d-a887-e02904105893,14,42,29,330.1374110000097
4bb64f34-2e41-4c0d-a887-e02904105893,14,43,30,334.8751099999845
4bb64f34-2e41-4c0d-a887-e02904105893,14,44,31,350.42507700001124
4bb64f34-2e41-4c0d-a887-e02904105893,14,45,32,337.5293080000006
4bb64f34-2e41-4c0d-a887-e02904105893,14,46,33,330.30467399999
4bb64f34-2e41-4c0d-a887-e02904105893,14,47,34,410.03850599997804
4bb64f34-2e41-4c0d-a887-e02904105893,14,48,35,401.4193090000049
4bb64f34-2e41-4c0d-a887-e02904105893,14,49,36,392.92581000000837
4bb64f34-2e41-4c0d-a887-e02904105893,14,50,37,392.4610249999887
4bb64f34-2e41-4c0d-a887-e02904105893,14,51,38,423.14709700002595
4bb64f34-2e41-4c0d-a887-e02904105893,14,52,39,447.3276690000034
4bb64f34-2e41-4c0d-a887-e02904105893,14,53,40,344.1348439999956
4bb64f34-2e41-4c0d-a887-e02904105893,14,54,41,340.6223949999685
4bb64f34-2e41-4c0d-a887-e02904105893,14,55,42,354.6541980000484
4bb64f34-2e41-4c0d-a887-e02904105893,14,56,43,340.6341409999527
4bb64f34-2e41-4c0d-a887-e02904105893,14,57,44,344.665740000039
4bb64f34-2e41-4c0d-a887-e02904105893,14,58,45,411.2648479999734
4bb64f34-2e41-4c0d-a887-e02904105893,14,59,46,346.67131999998446
4bb64f34-2e41-4c0d-a887-e02904105893,14,60,47,347.1221550000223
4bb64f34-2e41-4c0d-a887-e02904105893,14,61,48,359.8314079999909
4bb64f34-2e41-4c0d-a887-e02904105893,14,62,49,346.15458199999694
4bb64f34-2e41-4c0d-a887-e02904105893,14,63,50,355.42326099999855
4bb64f34-2e41-4c0d-a887-e02904105893,14,64,51,362.58154800003695
4bb64f34-2e41-4c0d-a887-e02904105893,14,65,52,359.2759979999869
4bb64f34-2e41-4c0d-a887-e02904105893,14,66,53,361.50594100001854
4bb64f34-2e41-4c0d-a887-e02904105893,14,67,54,373.46414999996114
4bb64f34-2e41-4c0d-a887-e02904105893,14,68,55,358.4339299999897
4bb64f34-2e41-4c0d-a887-e02904105893,14,69,56,367.69559300000765
4bb64f34-2e41-4c0d-a887-e02904105893,14,70,57,363.6926980000226
4bb64f34-2e41-4c0d-a887-e02904105893,14,71,58,366.64904299999534
4bb64f34-2e41-4c0d-a887-e02904105893,14,72,59,369.9800989999744
4bb64f34-2e41-4c0d-a887-e02904105893,14,73,60,364.57069900001216
4bb64f34-2e41-4c0d-a887-e02904105893,14,74,61,381.66370900000857
4bb64f34-2e41-4c0d-a887-e02904105893,14,75,62,380.0308880000216
4bb64f34-2e41-4c0d-a887-e02904105893,14,76,63,368.38695099999086
4bb64f34-2e41-4c0d-a887-e02904105893,14,77,64,370.60213399996655
4bb64f34-2e41-4c0d-a887-e02904105893,14,78,65,389.7806360000118
4bb64f34-2e41-4c0d-a887-e02904105893,14,79,66,380.3354050000394
4bb64f34-2e41-4c0d-a887-e02904105893,14,80,67,409.63270699995746
4bb64f34-2e41-4c0d-a887-e02904105893,14,81,68,435.3785929999958
4bb64f34-2e41-4c0d-a887-e02904105893,14,82,69,425.0084530000322
4bb64f34-2e41-4c0d-a887-e02904105893,14,83,70,438.7186369999654
4bb64f34-2e41-4c0d-a887-e02904105893,14,84,71,463.52218399999856
4bb64f34-2e41-4c0d-a887-e02904105893,14,85,72,453.8016240000502
4bb64f34-2e41-4c0d-a887-e02904105893,14,86,73,384.9432489999458
4bb64f34-2e41-4c0d-a887-e02904105893,14,87,74,379.2383680000171
4bb64f34-2e41-4c0d-a887-e02904105893,14,88,75,383.19521599999007
4bb64f34-2e41-4c0d-a887-e02904105893,14,89,76,380.84835200004363
4bb64f34-2e41-4c0d-a887-e02904105893,14,90,77,384.644188999971
4bb64f34-2e41-4c0d-a887-e02904105893,14,91,78,390.33875000001217
4bb64f34-2e41-4c0d-a887-e02904105893,14,92,79,385.87484499998936
4bb64f34-2e41-4c0d-a887-e02904105893,14,93,80,386.9331079999938
4bb64f34-2e41-4c0d-a887-e02904105893,14,94,81,386.5469900000562
4bb64f34-2e41-4c0d-a887-e02904105893,14,95,82,382.4948259999701
4bb64f34-2e41-4c0d-a887-e02904105893,14,96,83,384.7367089999807
4bb64f34-2e41-4c0d-a887-e02904105893,14,97,84,383.4821689999899
4bb64f34-2e41-4c0d-a887-e02904105893,14,98,85,390.6976250000298
4bb64f34-2e41-4c0d-a887-e02904105893,14,99,86,401.67324799995185
4bb64f34-2e41-4c0d-a887-e02904105893,14,100,87,391.2840870000309
4bb64f34-2e41-4c0d-a887-e02904105893,14,101,88,394.28673400004755
4bb64f34-2e41-4c0d-a887-e02904105893,14,102,89,386.945252999908
4bb64f34-2e41-4c0d-a887-e02904105893,14,103,90,392.8795240000227
4bb64f34-2e41-4c0d-a887-e02904105893,14,104,91,397.74368999997023
4bb64f34-2e41-4c0d-a887-e02904105893,14,105,92,398.41082899999947
4bb64f34-2e41-4c0d-a887-e02904105893,14,106,93,392.1868680000671
4bb64f34-2e41-4c0d-a887-e02904105893,14,107,94,403.9216180000267
4bb64f34-2e41-4c0d-a887-e02904105893,14,108,95,391.8034159999024
4bb64f34-2e41-4c0d-a887-e02904105893,14,109,96,401.2470210000174
4bb64f34-2e41-4c0d-a887-e02904105893,14,110,97,399.47458800008917
4bb64f34-2e41-4c0d-a887-e02904105893,14,111,98,439.61641699991105
4bb64f34-2e41-4c0d-a887-e02904105893,14,112,99,456.57850700001745
4bb64f34-2e41-4c0d-a887-e02904105893,14,113,100,444.27244899998186
4bb64f34-2e41-4c0d-a887-e02904105893,14,114,101,458.22671600001286
4bb64f34-2e41-4c0d-a887-e02904105893,14,115,102,471.0353960000475
4bb64f34-2e41-4c0d-a887-e02904105893,14,116,103,427.8912700000319
4bb64f34-2e41-4c0d-a887-e02904105893,14,117,104,406.19144400000096
4bb64f34-2e41-4c0d-a887-e02904105893,14,118,105,402.38117299998066
4bb64f34-2e41-4c0d-a887-e02904105893,14,119,106,412.8859399999101
4bb64f34-2e41-4c0d-a887-e02904105893,14,120,107,405.44690700005503
4bb64f34-2e41-4c0d-a887-e02904105893,14,121,108,411.04301799998666
4bb64f34-2e41-4c0d-a887-e02904105893,14,122,109,404.8891969999886
